src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,---,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,sbin0,sbin1,sbin2,sbin3,sbin4,sbin5,sbin6,sbin7,sbin8,sbin9,area
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.25,6,8,0.3,___,5,4433,5209,4433,5209,4523,4385,0.989172,0.841812,1.0203,0.868305,2356,6,1,14,10,20,17,80,986,1719,2356,2362,2363,2377,2387,2407,2424,2504,3490,5209,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.25,6,9,0.7,___,6,1000,1658,1000,1658,1000,1000,1,0.603136,1,0.603136,578,8,9,21,12,12,12,33,177,796,578,586,595,616,628,640,652,685,862,1658,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.25,6,9,0.3,___,6,4863,6011,4863,6011,5602,5434,1.11742,0.904009,1.15196,0.931958,2748,4,8,29,21,24,46,134,1124,1873,2748,2752,2760,2789,2810,2834,2880,3014,4138,6011,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.99,6,8,0.7,___,3,533,578,533,578,347,347,0.651032,0.600346,0.651032,0.600346,264,2,6,22,7,5,5,12,53,202,264,266,272,294,301,306,311,323,376,578,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.99,6,8,0.3,___,3,1053,1141,1053,1141,682,682,0.647673,0.597721,0.647673,0.597721,475,4,13,18,20,4,9,27,122,449,475,479,492,510,530,534,543,570,692,1141,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.99,6,9,0.7,___,3,603,644,603,644,418,418,0.693201,0.649068,0.693201,0.649068,293,1,13,20,19,14,11,18,59,196,293,294,307,327,346,360,371,389,448,644,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.99,6,9,0.3,___,3,1261,1381,1261,1381,936,926,0.734338,0.670529,0.742268,0.67777,594,5,22,17,11,14,25,27,160,506,594,599,621,638,649,663,688,715,875,1381,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.25,6,8,0.7,___,6,834,1384,836,1385,782,703,0.842926,0.507948,0.935407,0.564621,440,9,8,9,7,6,8,26,120,751,440,449,457,466,473,479,487,513,633,1384,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.25,6,8,0.3,___,5,4350,5610,4352,5613,4229,3897,0.895862,0.694652,0.971737,0.75343,2194,3,6,10,14,17,21,95,1071,2179,2194,2197,2203,2213,2227,2244,2265,2360,3431,5610,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.25,6,9,0.7,___,6,762,1177,766,1180,714,699,0.917323,0.593883,0.932115,0.605085,410,12,12,14,7,9,15,25,120,553,410,422,434,448,455,464,479,504,624,1177,21979.1
