src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,set_radius_harris,set_radius_search_harris,HarrisRosponseMethod,___,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1,1.7,1.7,LOWE,___,2,29,16,38,38,3,3,0.103448,0.1875,0.0789474,0.0789474
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1,1.7,1.7,LOWE,___,16,5,22,21,22,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1.3,1.7,1.7,LOWE,___,2,14,12,21,28,2,2,0.142857,0.166667,0.0952381,0.0714286
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1.3,1.7,1.7,LOWE,___,16,2,10,9,10,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1.5,1.7,1.7,LOWE,___,2,9,9,16,22,0,0,0,0,0,0
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,4,1.5,1.7,1.7,LOWE,___,15,0,7,3,7,0,0,-nan,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,5,0.01,1.7,1.7,LOWE,___,2,575,437,795,864,224,129,0.224348,0.295195,0.281761,0.259259
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,5,0.01,1.7,1.7,LOWE,___,16,3182,2233,10987,2234,912,711,0.223444,0.318406,0.0830072,0.408236
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,5,0.1,1.7,1.7,LOWE,___,2,309,219,471,597,98,53,0.171521,0.242009,0.208068,0.164154
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,5,0.1,1.7,1.7,LOWE,___,16,868,1208,2905,1209,169,80,0.0921659,0.0662252,0.0581756,0.139785
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,3,5,0.25,1.7,1.7,LOWE,___,2,181,130,284,366,49,27,0.149171,0.207692,0.172535,0.13388
